TT,Tên thực phẩm,"Tỉ lệ thải bỏ","Năng lượng",Protein,Lipid,Glucid,Canxi,"Phot pho",Sắt,Vit.A,"Beta caroten",Vit.B1,Vit.B2,Vit.PP,Vit.C,
29,Đậu cove hạt,10,321,"21,8","1,6","54,9",96,360,-,0,,-,-,-,-,-
30,Đậu đen hạt,2,325,"24,2","1,7","53,3",56,354,"6,1",0,,30,"0,5","0,21","1,8",3
31,Đậu xanh hạt,2,328,"23,4","2,4","53,1",64,377,"4,8",0,,30,"0,72","0,15","2,4",4
32,Đậu tương hạt,2,400,"34,0","18,4","24,6",165,690,"11,0",0,,30,"0,54","0,29","2,3",4
33,Vừng hạt(mè),5,568,"20,1","46,4","17,6",975,629,"14,55",0,,15,"0,79","0,25","4,5",0
34,Lạc hạt,2,573,"27,5","44,5","15,5",68,420,"2,2",0,,10,"0,44","0,12","16,0",-
35,Hạt điều,0,605,"18,4","46,3","28,7",28,462,"3,6",0,,5,"0,25","0,34","2,4",1
36,Đậu phụ,0,95,"10,9","5,4","0,7",24,85,"2,2",0,,-,"0,03","0,02","0,4",0
37,Sữa đậu nành,0,28,"3,1","1,6","0,4",18,36,"1,2",0,,-,0.05,"0,02","0,3",-
38,Tào phớ,0,37,"2,3","0,2","6,4",92,150,"0,3",0,,-,-,-,-,-
39,Bơ,0,756,"0,5","83,5","0,5",12,12,"0,1",600,,158,"0,01","0,04",0,0
40,Dầu lạc,0,900,0,100,0,-,-,0.03,-,,0,-,-,-,-
41,Dầu vừng,0,900,0,100,0,-,-,-,-,,0,-,-,-,-
42,Mỡ lợn nước,0,896,0,"99,6",0,2,12,"0,3",-,,0,"0,02",-,-,0
43,Thịt bò loại 1,2,118,"21,0","3,8",0,12,226,"3,6",12,,0,"0,1","0,17","4,2",1
44,"Thịt bò lưng nạc và 
mỡ",2,182,"21,5","10,7",0,5,185,"1,78",0,,0,"0,1","0,15","4,5",0
45,Thịt gà ta,52,199,"20,3","13,1",0,12,200,"1,5",120,,0,"0,15","0,16","8,1",4
46,"Thịt lợn nửa nạc nửa 
mỡ",2,260,"16,5","21,5",0,9,178,"1,5",10,,0,"0,53","0,16","2,7",2
47,Thịt lợn mỡ,2,394,"14,5","37,3",0,8,156,"0,4",2,,0,0,0,0,0
48,Thịt lợn nạc,2,139,19,7,0,7,190,"0,96",2,,0,"0,9","0,18","4,4",1
49,Ruốc thịt lợn,0,369,"46,6","20,3",0,29,16,"0,3",-,,0,-,-,-,0
3.2. Thủy sản và sản phẩm chế biến,,,,,,,,,,,,,,,,
50,Cá chép,40,96,"16,0","3,6",0,17,184,"0,9",181,,0,"0,02","0,04","1,5",0
51,Cá thu,35,166,"18,2","10,3",0,50,90,"1,3",10,,0,"0,07","0,17","6,6",0
52,Cá ngừ,42,87,"21,0","0,3",0,44,206,"1,0",5,,0,0.02,"0,08","4,0",1
53,Cá nục,-,111,"20,2","3,3",0,85,160,"3,25",15,,0,"0,06","0,26",14,0
54,Cá quả (cá lóc),40,97,"18,2","2,7",0,90,240,-,-,,0,"0,04","0,12","2,3",0
55,Cá rô,44,126,"19,1","5,5",0,26,151,"0,25",-,,0,-,-,-,0
56,Cá trôi,"27,6",127,"18,8","5,7",0,76,185,"0,05",-,,0,-,-,-,0
57,Cá trắm,35,91,"17,0","2,6",0,57,145,"0,1",-,,0,-,-,-,0
58,Cá trê,40,173,"16,5","11,9",0,20,210,"1,0",93,,0,"0,1","0,04","1,4",0
59,Cua đồng,69,87,"12,3","3,3","2,0",120,171,"1,4",210,,0,"0,01","0,51","2,1",0
60,Hến,82,45,"4,5","0,7","5,1",144,86,"1,6",-,,0,-,"0,12","2,3",0
61,Trai,60,38,"4,6","1,1","2,5",668,107,"1,5",90,,0,"0,02","0,46","3,1",0
62,Lươn,35,180,"18,4","11,7","0,2",35,164,"1,0",1800,,0,"0,15","0,31","3,8",0
63,Rạm tươi,50,77,"12,9","2,8",0,3520,180,-,-,,0,-,-,-,0
64,Tôm đồng,10,90,"18,4","1,8",0,1120,150,"2,2",15,,-,"0,02","0,03","3,2",0
65,Tôm khô,5,347,"75,6","3,8","2,5",236,995,"4,6",-,,-,"0,16","0,34","9,5",0
66,Tôm biển,54,82,"17,6","0,9","0,9",79,184,"1,6",20,,5,"0,04","0,08","2,3",0
67,Tép gạo,8,58,"11,7","1,2",0,910,218,-,-,,-,-,-,-,0
68,Tép khô,5,269,"59,8",3,"0,7",200,605,"5,5",-,,-,"0,03","0,07","2,5",0
69,Ốc đá,80,63,"11,2","0,3","3,9",1660,83,-,-,,0,-,-,-,0
70,Ốc nhồi,79,84,"11,9","0,7","7,6",1357,191,-,-,,0,"0,05","0,17","2,2",0
71,Ốc vặn,70,72,"12,2","0,7","4,3",1356,51,-,-,,0,-,-,-,0
72,Trứng chim cút,11,154,"13,1","11,1","0,4",64,226,"3,65",155,,11,"0,13","0,79","0,2",0
73,Trứng gà,14,166,"14,8","11,6","0,5",55,210,"2,7",700,,0,"0,16","0,31","0,2",0
74,Trứng vịt,12,184,"13,0","14,2","1,0",71,210,"3,2",360,,14,"0,15","0,3","0,1",0
75,Sữa bò tươi,0,74,"3,9","4,4","4,8",120,95,"0,1",50,,22,"0,05","0,19","0,1",1
76,Sữa mẹ,0,61,"1,5","3,0","7,0",34,15,"0,1",90,,1,"0,01","0,04","0,1",6
77,Sữa chua,0,61,"3,3","3,7","3,6",120,95,"0,1",25,,11,"0,04","0,2","0,1",1
78,Sữa bột toàn phần,0,494,"27,0","26,0","38,0",939,790,"1,1",318,,43,"0,24","1,31","0,7",10
79,Phomat,0,380,"25,5","30,9",0,760,424,"0,5",275,,118,"0,1","0,51","0,1",1
80,"Sữa đặc có đường 
Việt Nam",0,336,"8,1","8,8","56,0",307,219,"0,6",58,,50,"0,06","0,3","0,2",0
81,Bánh quy,0,376,"8,8","4,5","75,1",75,79,"3,6",19,,75,"0,4","0,26","0,7",0
82,Bánh đậu xanh,0,416,"15,6","11,5","62,4",111,273,"3,4",-,,105,"0,2","0,15","6,6",0
84,Bầu,"35,3",14,"0,6","0,02","2,9",21,25,"0,2",0,,10,"0,02","0,03","0,4",12
85,Bí đao(Bí xanh),25,12,"0,6",-,"2,4",26,23,"0,3",0,,5,"0,01","0,02","0,3",16
86,Bí ngô (bí đỏ),"18,3",27,"0,3","0,1","6,1",24,16,"0,5",0,,3100,"0,06","0,03","0,4",8
87,Cà bát,5,23,"1,2","0,2","4,0",12,16,"0,7",0,,40,"0,03","0,04","0,5",3
88,Cà chua,5,20,"0,6","0,2","4,0",12,26,"1,4",0,,393,"0,06","0,04","0,5",40
89,Cà rốt,"10,5",39,"1,5","0,2","7,8",43,39,"0,8",0,,8285,"0,06","0,06","0,4",8
90,Cải bắp,10,29,"1,8","0,1","5,3",48,31,"1,1",0,,65,"0,06","0,05","0,4",30
91,Cải cúc,35,14,"1,6",-,"1,9",63,38,"0,8",0,,1115,"0,01","0,03","0,2",27
92,Cải soong,30,15,"2,1","0,1","1,3",69,28,"1,6",0,,2820,"0,08","0,26","1,0",25
93,Cải thìa,25,17,"1,4","0,2","2,4",50,30,"0,7",0,,2681,"0,09","0,07","0,4",26
94,Cải xanh,24,16,"1,7","0,2","1,9",89,14,"1,9",0,,6300,"0,07","0,1","0,8",51
95,Cần ta,20,10,"1,0",-,"1,5",310,64,"3,0",0,,2045,"0,04","0,03","0,3",6
96,Chuối xanh,32,74,"1,2","0,5","16,4",26,27,"0,4",0,,184,"0,05","0,2","0,6",31
97,Củ cải trắng,"13,2",21,"1,5","0,1","3,6",40,41,"1,1",0,,0,"0,06","0,06","0,5",30
98,Củ đậu,15,28,1,-,"6,0",8,16,-,1,,0,-,-,-,6
99,Đậu đũa,10,59,"6,0","0,4","7,9",47,16,"1,6",0,,250,"0,29","0,18","1,8",22
100,Đậu cove,10,73,"5,0",-,"13,3",26,122,"0,7",0,,180,"0,34","0,19","0,6",25
101,Đậu Hà Lan,10,72,"6,5","0,4","10,6",57,43,"0,8",0,,485,"0,4","0,15","2,2",27
102,Đậu rồng,5,34,"1,9","0,1","6,3",63,60,"1,3",0,,270,"0,06","0,12","0,5",22
103,Giá đậu xanh,5,44,"5,5","0,2","5,1",38,91,"1,4",0,,6,"0,2","0,13","0,8",10
104,Hành lá xanh,20,22,"1,3",-,"4,3",80,41,"1,0",0,,1370,"0,03","0,1","1,0",60
105,Hành tây củ,17,41,"1,8","0,1","8,2",38,58,"0,8",0,,1,"0,03","0,04","0,2",10
106,Hạt sen tươi,39,161,"9,5","0,5","29,5",76,164,"1,4",0,,10,"0,17","0,09","1,7",17
107,Hạt sen khô,0,334,20,"2,4",58,89,285,"6,4",0,,30,"0,64","0,15","1,6",0
108,Mướp,"18,8",17,"0,9","0,2","2,8",28,45,"0,8",0,,160,"0,04","0,06","0,5",8
109,Rau bí,"23,4",18,"2,7",-,"1,7",100,26,"1,1",0,,1940,"0,09","0,13","0,9",11
110,Rau dền trắng,14,42,"3,2","0,4","6,3",288,80,"6,1",0,,2855,"0,08","0,28","0,3",27
111,Rau dền đỏ,38,41,"3,3","0,3","6,2",288,123,"5,4",0,,4080,"0,08","1,16","1,4",89
112,Rau đay,20,25,"2,8","0,3","3,0",182,57,"7,7",0,,4560,"0,13","0,26","1,1",77
113,Rau mồng tơi,17,14,"2,0",-,"1,4",176,34,"1,6",0,,1920,"0,06","0,17","0,6",72
114,Rau muống,"37,5",25,"3,2","0,4","2,1",100,37,"1,4",0,,5597,"0,1","0,09","0,7",23
115,Rau tàu bay,0,18,"2,5",-,"1,9",81,25,-,0,,1700,-,-,-,10
116,Rau ngót,23,35,"5,3",-,"3,4",169,65,"2,7",0,,6650,"0,07","0,39","2,2",185
117,Su hào,"22,4",37,"2,8","0,1","6,2",46,50,"0,6",0,,22,"0,06","0,05","0,2",40
118,Súp lơ trắng,40,30,"2,5","0,1","4,8",26,51,"1,4",1,,8,"0,11","0,1","0,6",70
119,Nấm mỡ tươi,10,32,"4,0","0,3","3,4",28,80,"1,3",0,,10,"0,11","0,16","3,3",4
120,Nấm rơm,10,57,"3,6","3,2","3,4",28,80,"1,2",0,,0,"0,12","0,33","9,1",2
121,Bưởi,35,30,"0,2",0,"7,3",23,18,"0,5",0,,0,"0,04","0,02","0,3",95
122,Cam,"31,1",38,"0,9","0,1","8,3",34,23,"0,4",0,,71,"0,08","0,03","0,2",40
123,Chôm chôm,50,72,"1,5",0,"16,4",28,15,"0,5",0,,-,-,-,-,-
124,Chanh,"25,0",24,"0,9","0,3","4,5",40,22,"0,6",0,,-,"0,04","0,01","0,1",77
125,Chuối tiêu,35,97,"1,5","0,2","22,2",8,28,"0,6",0,,45,"0,04","0,05","0,7",6
126,Chuối tây,"26,5",56,"0,9","0,3",124,12,25,"0,5",0,,26,"0,04","0,07","0,6",6
127,Dưa hấu,48,16,"1,2","0,2","2,3",8,13,"1,0",0,,303,"0,04","0,04","0,2",7
128,Đu đủ chín,"12,4",36,"1,0","0,1","7,6",40,32,"2,6",0,,276,"0,02","0,02","0,4",54
129,"Dứa (thơm, khóm)",40,29,"0,8",-,"6,5",15,17,"0,5",0,,40,"0,08","0,02","0,2",24
130,Hồng xiêm,10,48,"0,5","0,7",10,52,24,"2,3",0,,-,0,"0,02","0,2",8
131,Mãng cầu (na),21,53,"1,8","0,6","10,1",38,14,"0,7",0,,-,"0,08","0,1","0,5",19
132,Mít dai,55,50,"0,6","0,3","11,1",21,28,"0,4",0,,180,"0,09","0,04","0,7",5
133,Nhãn,45,48,"0,9","0,1","10,9",21,12,"0,4",0,,0,"0,03","0,14","0,3",58
134,Nho ta,13,59,"0,4",-,"3,1",40,21,"1,4",0,,15,"0,05","0,04","0,3",45
135,Quả bơ vỏ xanh,28,101,"1,9","9,4","2,3",60,85,"1,6",0,,53,"0,02","0,05","0,7",17
136,Quả thanh long,-,40,"1,3",-,"8,7",11,11,"0,6",0,,-,-,-,-,10
137,Quả quýt,"19,8",39,"0,8","0,3","8,3",35,17,"0,4",0,,71,"0,08","0,03","0,2",55
138,Táo tây,12,48,"0,5","0,2","11,0",19,13,"2,5",0,,27,"0,04","0,03","0,2",7
139,Quả vải,48,45,"0,7","0,4","9,6",6,34,"0,5",0,,-,"0,02","0,04","0,7",36
140,Vú sữa,22,42,"1,0",-,"9,4",68,32,"0,4",0,,-,"0,01","0,02","0,9",5
141,Xoài,20,62,"0,6","0,3","14,1",10,13,"0,4",0,,445,"0,05","0,05","0,3",30
142,Quả trứng gà,25,106,"4,3","0,4","21,3",101,270,-,0,,-,-,-,-,-
143,Quả táo ta,14,38,"0,8","0,2","8,3",44,25,"0,2",0,,5,"0,06","0,04","0,6",24
144,"Nước mắm cá loại  
đặc biệt",0,60,15,0,0,387,247,"2,7",-,,-,"0,09","0,86",-,0
145,Gừng tươi,10,29,"0,4","0,8","5,1",60,8,"2,5",-,,0,"0,04","0,04","0,7",5
146,Muối,0,0,0,0,0,150,70,"0,81",0,,0,0,0,0,0
147,Nghệ tươi,10,25,"1,1","0,3","4,4",12,22,-,-,,-,"0,03","0,03","0,3",4
148,Magi,0,65,"10,5","0,1","5,6",20,130,"2,38",0,,0,"0,06","0,15","4,0",0
149,Tương ngô,0,75,"3,9","0,1","14,5",-,-,-,-,,-,-,-,-,0
150,Tương nếp,0,86,"4,3","0,7","15,7",-,-,-,-,,0,-,-,-,0
151,Xì dầu,0,53,"6,3","0,04","6,8",19,125,"1,93",0,,0,"0,03","0,17","2,2",0
152,Sốt mayonnaise,0,701,0,"77,8","0,1",7,25,"0,23",-,,0,"0,01","0,06",0,0
